cast,crew,date,link,playwright,playwright_formatted,playwright_formatted_long,poster_thumb_tag,run,season,title,type,venue,year_title
NA,NA,2016-06-14,/years/15_16/sisyphus/,Jack Solloway,by Jack Solloway,by Jack Solloway,<a href='/years/15_16/sisyphus/'><img src='https://photos.smugmug.com/photos/i-wbxjJrv/0/cd2b5fe3/128x162/i-wbxjJrv-128x162.jpg' class='search-result-poster-thumb' alt='Sisyphus's Safari (The Boy With No Face) poster' /></a>,14 June 2016,STUFF,Sisyphus's Safari (The Boy With No Face),show,New Theatre Studio A,2015-16
Arnaud Lacey/Emma Kendall/Jess Curtis/Izzy Miles/Josh Battaliou/Alice Simmons/,Ian Sheard/Jamie Drew/Nathan Penney/Joanne Blunt/Rohanna Brown/Eden Phillips Harrington/Jodie Marley/Emily Sterling/,2015-11-16,/years/15_16/sketchy_characters/,Ian Sheard & Jamie Drew,by Ian Sheard & Jamie Drew,by Ian Sheard & Jamie Drew,<a href='/years/15_16/sketchy_characters/'><img src='https://photos.smugmug.com/photos/i-RLwSppJ/0/2602b39c/128x162/i-RLwSppJ-128x162.jpg' class='search-result-poster-thumb' alt='Sketchy Characters poster' /></a>,16-17 November 2015,Fringe,Sketchy Characters,show,Trent/Great Hall,2015-16
Libby Boyd/Gus Herbert/Andrew Houghton/,Tom Proffitt/Jess Curtis/Gemma Power/Ross Brisk/Emma Barber/Sam Osborne/Hazel O'Donohoe/Joe Strickland/Rohanna Brown/Joanne Blunt/Joanna Manning/Darcey Graham/Adam Humphries/Ellie Webb/Niamh Caines/James Fox/Emma Kendall/Ed Eggleton/Beth Angella/Emily Dimino/Jens Lichter/Nathan Penney/Max Miller/,2016-03-09,/years/15_16/skylight/,David Hare,by David Hare,by David Hare,<a href='/years/15_16/skylight/'><img src='https://photos.smugmug.com/photos/i-QKDtbRb/0/de2df2f3/128x162/i-QKDtbRb-128x162.jpg' class='search-result-poster-thumb' alt='Skylight poster' /></a>,9-12 March 2016,In House,Skylight,show,New Theatre,2015-16
Gil Eplan-Frankel/Chris Sharp-Paul/Sam Peake/,Will Berrington/Jake Beach/Becca David/Adam Humphries/Nathan Penney/Nathan Penney/Will Berrington/Ollie Shortt/Rohanna Brown/Joanna Manning/Andrew Calverley/Joanne Blunt/James Fox/Emilie Brittain/Dave Porter/Sasha Gibson/Sue White/Jamie Stevens/Ella Quinton/,2016-03-15,/years/15_16/someone_wholl_watch_over_me/,Frank McGuinness,by Frank McGuinness,by Frank McGuinness,<a href='/years/15_16/someone_wholl_watch_over_me/'><img src='https://photos.smugmug.com/photos/i-HQZcQ57/0/8d3b8005/128x162/i-HQZcQ57-128x162.jpg' class='search-result-poster-thumb' alt='Someone Who'll Watch Over Me poster' /></a>,15-18 March 2016,In House,Someone Who'll Watch Over Me,show,New Theatre,2015-16
Shannon Smith/Chris Sharp-Paul/,Tom Tolond/Gus Herbert/,2016-05-30,/years/15_16/steady_rain/,Keith Huff,by Keith Huff,by Keith Huff,<a href='/years/15_16/steady_rain/'><img src='https://photos.smugmug.com/photos/i-X5V8pJR/0/e131182f/128x162/i-X5V8pJR-128x162.jpg' class='search-result-poster-thumb' alt='A Steady Rain poster' /></a>,30-31 May 2016,External,A Steady Rain,show,New Theatre Studio A,2015-16
Melina Paneris/Josh Mallalieu/Natalia Gonzalez Morales/Chloe Wilson/Amy Naylor/Gary Berezin/Laura Thornton/,Joe Strickland/James Collyer/Joe Strickland/Joseph Heil/Emily Sterling/Sam Layton/Beth Mullen/,2015-11-29,/years/15_16/strangers/,null,Devised,Devised,<a href='/years/15_16/strangers/'><img src='https://photos.smugmug.com/photos/i-q3kdpxT/0/b005ab7a/128x162/i-q3kdpxT-128x162.jpg' class='search-result-poster-thumb' alt='Strangers poster' /></a>,29-30 November 2015,Fringe,Strangers,show,New Theatre Studio A and B,2015-16
NA,NA,2016-06-14,/years/15_16/strangers_stuff/,null,Devised,Devised,<a href='/years/15_16/strangers_stuff/'><img src='https://photos.smugmug.com/photos/i-N8nRtnR/0/9cfefa17/128x162/i-N8nRtnR-128x162.jpg' class='search-result-poster-thumb' alt='Strangers - A Magic Play poster' /></a>,14 June 2016,STUFF,Strangers - A Magic Play,show,New Theatre,2015-16
Rachel Towers/Iona Hampson/Jake McGrath/Beth Mullen/Miguel Barrulas/James Curling/Lara Cowler/Andrew Houghton/Matt Hodges/Kate Maguire/,Ricki Crook/Holly Gatfield/Nathan Penney/Joanna Manning/Ross Brisk/Sam Layton/Hazel O'Donohoe/Joanna Manning/Andrew Calverley/Emily Sterling/Emma Barber/Shivani Gupta/Mane Davtyan/Rohanna Brown/Max Miller/,2015-11-25,/years/15_16/the_diary_of_anne_frank/,Frances Goodrich & Albert Hackett,by Frances Goodrich & Albert Hackett,by Frances Goodrich & Albert Hackett,<a href='/years/15_16/the_diary_of_anne_frank/'><img src='https://photos.smugmug.com/photos/i-k7ZdgBN/0/31ec9020/128x162/i-k7ZdgBN-128x162.jpg' class='search-result-poster-thumb' alt='The Diary of Anne Frank poster' /></a>,25-28 November 2015,In House,The Diary of Anne Frank,show,New Theatre,2015-16
Nick Gill/Libby Boyd/Harry Bradley/Ben Standish/Becca Jones/,Laura Jayne Bateman/Lydia Smith/Gigi George/James Fox/Gus Herbert/James Roscow/Aneesa Kaleem/Tom Heath/Ed Eggleton/Sasha Butler/Ollie Shortt/Tom Selves/Omid Faramarzi/Dina Elkordy/Laura Jayne Bateman/Aneesa Kaleem/,2015-12-06,/years/15_16/the_great_gatsby/,F. Scott Fitzgerald,by F. Scott Fitzgerald,by F. Scott Fitzgerald; Adapted by L. J. Bateman,<a href='/years/15_16/the_great_gatsby/'><img src='https://photos.smugmug.com/photos/i-QLDPQDz/0/aa01240c/128x162/i-QLDPQDz-128x162.jpg' class='search-result-poster-thumb' alt='The Great Gatsby poster' /></a>,6-7 December 2015,Fringe,The Great Gatsby,show,Trent/Performing Arts Studio,2015-16
Nick Gill/Sophie Walton/Harry Bradley/Harry Pavlou/Sasha Butler/,Laura Jayne Bateman/Gigi George/Arthur Mckechnie/James Fox/Ollie Shortt/Aneesa Kaleem/Dina Elkordy/,2016-08-06,/years/15_16/the_great_gatsby_edin/,F. Scott Fitzgerald,by F. Scott Fitzgerald,by F. Scott Fitzgerald; Adapted by L. J. Bateman,<a href='/years/15_16/the_great_gatsby_edin/'><img src='https://photos.smugmug.com/photos/i-PMJTJV2/0/4c57581e/128x162/i-PMJTJV2-128x162.jpg' class='search-result-poster-thumb' alt='The Great Gatsby poster' /></a>,6-26 August 2016,Edinburgh,The Great Gatsby,show,Royal Terrace/Greenside,2015-16
Nick Gill/Sophie Walton/Harry Bradley/Harry Pavlou/Sasha Butler/,Laura Jayne Bateman/Gigi George/Arthur Mckechnie/James Fox/Ollie Shortt/Aneesa Kaleem/,2016-06-15,/years/15_16/the_great_gatsby_stuff/,F. Scott Fitzgerald,by F. Scott Fitzgerald,by F. Scott Fitzgerald; Adapted by L. J. Bateman,<a href='/years/15_16/the_great_gatsby_stuff/'><img src='https://photos.smugmug.com/photos/i-hHZK6kW/0/04566abc/128x162/i-hHZK6kW-128x162.jpg' class='search-result-poster-thumb' alt='The Great Gatsby poster' /></a>,15 June 2016,STUFF,The Great Gatsby,show,New Theatre,2015-16
George Waring/James Curling/Izzie Masters/Emma Summerton/Chrissy Courquin/Iona Hampson/Neil Ganatra/Joe Hincks/Darcey Graham/,Nathan Penney/Ross Brisk/James Pheasy/Ben Woodford/Ben Woodford/Jess Donn/Ross Brisk/Rohanna Brown/Tom Proffitt/Emily Dimino/Joanna Manning/Eden Phillips Harrington/Max Miller/,2016-05-11,/years/15_16/the_importance_of_being_earnest/,Oscar Wilde,by Oscar Wilde,by Oscar Wilde,<a href='/years/15_16/the_importance_of_being_earnest/'><img src='https://photos.smugmug.com/photos/i-JH6Sp3B/0/a4a22e76/128x162/i-JH6Sp3B-128x162.jpg' class='search-result-poster-thumb' alt='The Importance of Being Earnest poster' /></a>,11-14 May 2016,In House,The Importance of Being Earnest,show,New Theatre,2015-16
NA,NA,2016-05-25,/years/15_16/the_importance_of_being_earnest_postgrad/,Oscar Wilde,by Oscar Wilde,by Oscar Wilde,<a href='/years/15_16/the_importance_of_being_earnest_postgrad/'><img src='https://photos.smugmug.com/photos/i-ktTHpqC/0/34eaa79b/128x162/i-ktTHpqC-128x162.jpg' class='search-result-poster-thumb' alt='The Importance of Being Earnest poster' /></a>,25-28 May 2016,Postgrads,The Importance of Being Earnest,show,New Theatre,2015-16
Boo Jackson/Emmy Latham/Emma White/Ronan Lee/Beth Summerfield/Beth Angella/Arshia Jain/Josie Macgilchrist/Will Baglin/,Joe Strickland/James Collyer/Emma Summerton/Joe Strickland/Joanne Blunt/Sam Layton/Maddy Strauss/,2016-06-01,/years/15_16/the_skriker/,Caryl Churchill,by Caryl Churchill,by Caryl Churchill,<a href='/years/15_16/the_skriker/'><img src='https://photos.smugmug.com/photos/i-HCDn4fv/0/520d9a3f/128x162/i-HCDn4fv-128x162.jpg' class='search-result-poster-thumb' alt='The Skriker poster' /></a>,1-2 June 2016,External,The Skriker,show,New Theatre,2015-16
Maddy Strauss/Felicity Chilver/Anna Scholes/Malcolm Jeunet/Thomas Dooner/Emily Sterling/Matt Standen/Daniella Finch/Josh Mallalieu/Laurence Cuthbert/,Chris Trueman/Emma Kendall/Emma Summerton/David Taylor/Sam Osborne/Joanne Blunt/Jess Donn/Ravin Thakrar/Emma Barber/Ross Brisk/Joanna Manning/James Fox/Mane Davtyan/Joseph Heil/Nathan Penney/Emily Dimino/Adam Humphries/James Curling/Max Miller/Tom Proffitt/Beth Angella/Darcey Graham/Will Berrington/Arthur Mckechnie/Sasha Gibson/Almaz Rish/,2016-04-20,/years/15_16/the_tempest/,William Shakespeare,by William Shakespeare,by William Shakespeare,<a href='/years/15_16/the_tempest/'><img src='https://photos.smugmug.com/photos/i-6kqw989/0/bff94e93/128x162/i-6kqw989-128x162.jpg' class='search-result-poster-thumb' alt='The Tempest poster' /></a>,20-23 April 2016,In House,The Tempest,show,New Theatre,2015-16
Ben Standish/Sophie Walton/Lou Knapp/Gigi George/Sasha Butler/,Laura Jayne Bateman/Aneesa Kaleem/Anna Stubbs/James Fox/James Fox/Adam Humphries/Bessie Ephgrave/Jess Donn/Emma Barber/Felicity Chilver/Daniella Finch/Sasha Gibson/Charlotte Kirkman/Izzie Masters/Amy Naylor/Niamh Caines/Sasha Gibson/Lydia Smith/Aneesa Kaleem/,2016-03-02,/years/15_16/thrill_of_love/,Amanda Whittington,by Amanda Whittington,by Amanda Whittington,<a href='/years/15_16/thrill_of_love/'><img src='https://photos.smugmug.com/photos/i-h3sCHFz/0/9c7bff34/128x162/i-h3sCHFz-128x162.jpg' class='search-result-poster-thumb' alt='The Thrill of Love poster' /></a>,2-5 March 2016,In House,The Thrill of Love,show,New Theatre,2015-16
NA,Sam Osborne/,2016-06-15,/years/15_16/to_she_or_not_to_she/,Emma Bentley,by Emma Bentley,by Emma Bentley,<a href='/years/15_16/to_she_or_not_to_she/'><img src='https://photos.smugmug.com/photos/i-znrcT3t/0/ca955c4f/128x162/i-znrcT3t-128x162.jpg' class='search-result-poster-thumb' alt='To She Or Not To She poster' /></a>,15 June 2016,STUFF,To She Or Not To She,show,New Theatre Studio A,2015-16
Arnaud Lacey/Elis Edhem/Andrew Houghton/Ian Sheard/Daniella Finch/Sam Peake/,Jamie Drew/Joanne Blunt/Arthur Mckechnie/Jennifer Orme/Keir Birchall/Dina Elkordy/,2016-08-05,/years/15_16/tsketch_edin/,Ian Sheard & Jamie Drew,by Ian Sheard & Jamie Drew,by Ian Sheard & Jamie Drew,<a href='/years/15_16/tsketch_edin/'><img src='https://photos.smugmug.com/photos/i-LWrfhq8/0/84d71890/128x162/i-LWrfhq8-128x162.png' class='search-result-poster-thumb' alt='Tyrannosaurus Sketch poster' /></a>,5-27 August 2016,Edinburgh,Tyrannosaurus Sketch,show,Royal Terrace/Greenside,2015-16
Arnaud Lacey/Elis Edhem/Andrew Houghton/Ian Sheard/Daniella Finch/Sam Peake/,Jamie Drew/Joanne Blunt/Arthur Mckechnie/Jennifer Orme/Keir Birchall/,2016-06-14,/years/15_16/tsketch_stuff/,Ian Sheard & Jamie Drew,by Ian Sheard & Jamie Drew,by Ian Sheard & Jamie Drew,<a href='/years/15_16/tsketch_stuff/'><img src='https://photos.smugmug.com/photos/i-2LLGXG9/0/2f498363/128x162/i-2LLGXG9-128x162.jpg' class='search-result-poster-thumb' alt='Tyrannosaurus Sketch poster' /></a>,14 June 2016,STUFF,Tyrannosaurus Sketch,show,New Theatre,2015-16
Shannon Smith/Becca Jones/Niamh Caines/Tom Selves/George Waring/Jamie Watt/James Roscow/Callum Walker/Lydia Dyer/,Omid Faramarzi/Rachel Angeli/Jessica Millott/Emma Kendall/Will Pimblett/Darcey Graham/Darcey Graham/Dina Elkordy/Will Berrington/Natalia Gonzalez Morales/James Fox/Nathan Penney/Beth Wilson/James Gray/Natalia Gonzalez Morales/Max Miller/,2015-11-18,/years/15_16/west/,Steven Berkoff,by Steven Berkoff,by Steven Berkoff,<a href='/years/15_16/west/'><img src='https://photos.smugmug.com/photos/i-jSrJSMz/0/5ae4b9bc/128x162/i-jSrJSMz-128x162.jpg' class='search-result-poster-thumb' alt='West poster' /></a>,18-21 November 2015,In House,West,show,New Theatre,2015-16
Jack Ellis/Mitchell Masterson/Jennifer Danaher/,Joanne Blunt/,2016-02-10,/years/15_16/when_the_lights_come_up/,null,Playwright Unknown,Playwright Unknown,<a href='/years/15_16/when_the_lights_come_up/'><img src='https://photos.smugmug.com/photos/i-ks349x7/0/ff1daaec/128x162/i-ks349x7-128x162.jpg' class='search-result-poster-thumb' alt='When The Lights Come Up poster' /></a>,10-13 February 2016,External,When The Lights Come Up,show,New Theatre,2015-16
Jack Ellis/Mitchell Masterson/Jennifer Danaher/,NA,2016-06-14,/years/15_16/when_the_lights_come_up_stuff/,null,Playwright Unknown,Playwright Unknown,<a href='/years/15_16/when_the_lights_come_up_stuff/'><img src='https://photos.smugmug.com/photos/i-4DQ4j87/0/f64712b4/128x162/i-4DQ4j87-128x162.jpg' class='search-result-poster-thumb' alt='When The Lights Come Up poster' /></a>,14 June 2016,STUFF,When The Lights Come Up,show,New Theatre,2015-16
NA,NA,2016-05-02,/years/15_16/with_a_little_bit_of_luck/,Sabrina Mahfouz,by Sabrina Mahfouz,by Sabrina Mahfouz,<a href='/years/15_16/with_a_little_bit_of_luck/'><img src='https://photos.smugmug.com/photos/i-cjzr7qj/0/5a8e2e45/128x162/i-cjzr7qj-128x162.jpg' class='search-result-poster-thumb' alt='With a Little Bit of Luck poster' /></a>,2 May 2016,External,With a Little Bit of Luck,show,New Theatre Studio A,2015-16
Harry Pavlou/Natalia Gonzalez Morales/Chloe Richardson/Jess Lundholm/Callum Walker/Lisa Gier/Amy Crighton/,Emma White/Darcey Graham/Amy O'Dell/Joseph Heil/Max Miller/Emma White/,2016-11-21,/years/16_17/a_beautiful_thing/,Emma White,by Emma White,by Emma White,<a href='/years/16_17/a_beautiful_thing/'><img src='https://photos.smugmug.com/photos/i-hq7bcvW/0/1e4bc7d2/128x162/i-hq7bcvW-128x162.jpg' class='search-result-poster-thumb' alt='A Beautiful Thing poster' /></a>,21-22 November 2016,Fringe,A Beautiful Thing,show,The Lofthouse,2016-17
Arnaud Lacey/Beth Angella/Will Kitchen/Ronan Lee/Sam Morris/,Yee Heng Yeh/James McGilloway/Rohanna Brown/Amy O'Dell/Becca Potts/Joanne Blunt/Ian Sheard/Ian Sheard/Yee Heng Yeh/,2016-11-28,/years/16_17/all_the_worlds_a_stage/,Yee Heng Yeh and Ian Sheard,by Yee Heng Yeh and Ian Sheard,by Yee Heng Yeh and Ian Sheard,<a href='/years/16_17/all_the_worlds_a_stage/'><img src='https://photos.smugmug.com/photos/i-s37DxH2/0/aa6655ee/128x162/i-s37DxH2-128x162.jpg' class='search-result-poster-thumb' alt='All The World's A Stage & Other Stories poster' /></a>,28-29 November 2016,Fringe,All The World's A Stage & Other Stories,show,New Theatre Studio A,2016-17
Ella Hiscocks/Libby Boyd/,Beth Angella/Izzy Miles/Hannah Burne/Joseph Heil/Sarah Chin/Ben Woodford/Rohanna Brown/Adam Frankland/Beth Wilson/Ed Eggleton/Tom Proffitt/Hannah Sweeney/David Mason/,2017-03-15,/years/16_17/an_intervention/,Mike Bartlett,by Mike Bartlett,by Mike Bartlett,<a href='/years/16_17/an_intervention/'><img src='https://photos.smugmug.com/photos/i-88JrjxR/0/9f0a0327/128x162/i-88JrjxR-128x162.jpg' class='search-result-poster-thumb' alt='An Intervention poster' /></a>,15-18 March 2017,In House,An Intervention,show,New Theatre,2016-17
Grace Williams/Daniella Finch/Hugo Minta/Chris Trueman/Emma White/Eric Crouch/Ted Marriott/Leah Briars/Ian Sheard/Jeremy Dunn/Chrissy Courquin/Rose Edgeworth/Miguel Barrulas/Beth Wilson/,Felicity Chilver/Joanne Blunt/Izzy Widdowson/Adam Frankland/Harry Bridge/Emma Barber/Tom Proffitt/Darcey Graham/Joseph Heil/Joseph Heil/Becca Potts/Amy O'Dell/Jonny Gate/Karl Nycklemoe/Adam Humphries/Sam Layton/Rohanna Brown/Nathan Penney/Zoe Smith/Yee Heng Yeh/Andrew Houghton/Lena Grasselli/Nat Henderson/Amy Greaves/Keir Birchall/,2016-12-07,/years/16_17/as_you_like_it/,William Shakespeare,by William Shakespeare,by William Shakespeare,<a href='/years/16_17/as_you_like_it/'><img src='https://photos.smugmug.com/photos/i-sZ7pTJN/0/4850fa04/128x162/i-sZ7pTJN-128x162.jpg' class='search-result-poster-thumb' alt='As You Like It poster' /></a>,7-10 December 2016,In House,As You Like It,show,New Theatre,2016-17
Grace Williams/Beth Wilson/Rose Edgeworth/Will Berrington/,Callum Walker/Amy Crighton/Daniel McVey/Hannah Burne/Joe Strickland/Rohanna Brown/Amy Crighton/,2017-03-20,/years/16_17/blackdog/,Callum Walker,by Callum Walker,by Callum Walker,<a href='/years/16_17/blackdog/'><img src='https://photos.smugmug.com/photos/i-z9zX7gF/0/a266b4d5/128x162/i-z9zX7gF-128x162.jpg' class='search-result-poster-thumb' alt='The Black Dog on My Sofa poster' /></a>,20-21 March 2017,Fringe,The Black Dog on My Sofa,show,New Theatre Studio A,2016-17
Kate O'Gorman/Alice Simmons/Emma Pallett/Nat Henderson/Jamie Watt/Louis Djalili/Miguel Barrulas/Ted Marriott/Luke Slater/Louise Harris/Libby Boyd/Daniella Finch/Cameron Walker/Arnaud Lacey/Chloe Schlitter/,Martin Berry/Jake Leonard/Richard Statham/Jess Donn/Vicky Johnson/Annie McKee/Jessica Kyndt/Lisa Gillingham-Lee/,2017-05-09,/years/16_17/blue_stockings/,Jessica Swale,by Jessica Swale,by Jessica Swale,<a href='/years/16_17/blue_stockings/'><img src='https://photos.smugmug.com/photos/i-P5QwXXQ/0/c6ffa075/128x162/i-P5QwXXQ-128x162.jpg' class='search-result-poster-thumb' alt='Blue Stockings poster' /></a>,9-13 May 2017,Lakeside,Blue Stockings,show,Djanogly Theatre,2016-17
Ben Macpherson/,Sam Osborne/,2017-06-21,/years/16_17/bryon_montrose/,Ben Macpherson,by Ben Macpherson,by Ben Macpherson,<a href='/years/16_17/bryon_montrose/'><img src='https://photos.smugmug.com/photos/i-S8FFDf7/0/ce4fee27/128x162/i-S8FFDf7-128x162.jpg' class='search-result-poster-thumb' alt='The Fall of Byron MontrosePoet/Gentleman/Lover poster' /></a>,21 June 2017,STUFF,The Fall of Byron MontrosePoet/Gentleman/Lover,show,New Theatre Studio A,2016-17
Matteo Bagaini/Katie Baxter/Isabelle Cadwallader/Lorcan Campbell/Ellie Castaño/Angharad Davies/Rose Edgeworth/Jack Ellis/Emma Fearon/Marsya Hazanan/Nat Henderson/Rosie Hudson/Becki Jones/Daniel Morris/Beth Mullen/George Waring/Emily Wong/,Callum Walker/Jess Donn/Amy Crighton/Jamie Drew/Yee Heng Yeh/Joe Strickland/Joanne Blunt/Rohanna Brown/Ian Sheard/Beth Wilson/Felicity Chilver/,2017-02-06,/years/16_17/camp_macbeth/,null,Devised by Crew,Devised by Crew,<a href='/years/16_17/camp_macbeth/'><img src='https://photos.smugmug.com/photos/i-SDZndTT/0/37542944/128x162/i-SDZndTT-128x162.jpg' class='search-result-poster-thumb' alt='Camp Macbeth poster' /></a>,6-7 February 2017,External,Camp Macbeth,show,New Theatre,2016-17
Jess Lundholm/Libby Boyd/Louis Djalili/Jamie Watt/,Max Miller/Charlotte Sanders/Joanne Blunt/Joe Strickland/Ross Brisk/Becca Potts/Joanne Blunt/Perdita Vaughan Williams/Tom Proffitt/Adam Humphries/Emma Barber/Yee Heng Yeh/Adam Frankland/Rohanna Brown/Beth Wilson/Laura Wolczyk/Jess Donn/Amy Crighton/Ian Sheard/Lisa Gier/Darcey Graham/Harry Bridge/Max Miller/,2016-11-09,/years/16_17/closer/,Patrick Marber,by Patrick Marber,by Patrick Marber,<a href='/years/16_17/closer/'><img src='https://photos.smugmug.com/photos/i-ZcgsXpt/0/21ef5ada/128x162/i-ZcgsXpt-128x162.jpg' class='search-result-poster-thumb' alt='Closer poster' /></a>,9-12 November 2016,In House,Closer,show,New Theatre,2016-17
Sophie Walton/Kate Maguire/,Andrew Houghton/Miguel Barrulas/Beth Wilson/Oliver Kueck/Joanne Blunt/,2016-11-14,/years/16_17/contractions/,Mike Bartlett,by Mike Bartlett,by Mike Bartlett,<a href='/years/16_17/contractions/'><img src='https://photos.smugmug.com/photos/i-WhFfc3V/0/519ada27/128x162/i-WhFfc3V-128x162.jpg' class='search-result-poster-thumb' alt='Contractions poster' /></a>,14-15 November 2016,Fringe,Contractions,show,New Theatre Studio A,2016-17
Laurence Cuthbert/Chris Trueman/Josh Mallalieu/Matteo Bagaini/,Beth Mullen/James Curling/George Waring/Arthur Mckechnie/Emily Brady/Ben Hollands/,2017-06-11,/years/16_17/crystal_quest/,null,Devised by Cast and Crew,Devised by Cast and Crew,<a href='/years/16_17/crystal_quest/'><img src='https://photos.smugmug.com/photos/i-r3JPbCh/0/112baf77/128x162/i-r3JPbCh-128x162.png' class='search-result-poster-thumb' alt='Crystal QuestA 5D Adventure poster' /></a>,11-12 June 2017,Fringe,Crystal QuestA 5D Adventure,show,Trent/Performing Arts Studio,2016-17
Harry Pavlou/Rachel Connolly/Sasha Gibson/Cameron Walker/Alice Simmons/Emilie Brittain/Sam Morris/Selin Aci/Matthew Charlton/Charlotte Kirkman/Rachael Baines/Emma Pallett/,Laurence Cuthbert/Josh Mallalieu/Emily Sterling/Jacob Lloyd/Nathan Penney/Sam Osborne/Darcey Graham/Jessica Millott/David Taylor/Ben Woodford/Izzie Masters/Joseph Heil/Rohanna Brown/Hannah Burne/Yee Heng Yeh/Tom Price/Adam Humphries/Adam Frankland/Joanne Blunt/Jess Donn/Jess Donn/Will Berrington/Rohanna Brown/Hannah Burne/Yee Heng Yeh/Lena Grasselli/Louis Djalili/Josh Mallalieu/,2016-12-13,/years/16_17/dead/,Lawrence Cuthbert and Josh Mallalieu,by Lawrence Cuthbert and Josh Mallalieu,by Lawrence Cuthbert and Josh Mallalieu,<a href='/years/16_17/dead/'><img src='https://photos.smugmug.com/photos/i-rrNPzgH/0/31ae75a3/128x162/i-rrNPzgH-128x162.jpg' class='search-result-poster-thumb' alt='DEADA Musical poster' /></a>,13-16 December 2016,In House,DEADA Musical,show,New Theatre,2016-17
